Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score
Random Forest Classifier Scaled,0.884118190212373,0.8265795206971678,0.6059734866634723,0.6992903879826744,0.7848107374861865
Random Forest Classifier Scaled with Cross Validation,0.8827921753360748,0.8181332933298104,0.605252606255012,0.6957639679024887,0.9250373529143558
